Source State,Action,Interacted Widget,Resulting State,StartTime,EndTime,SuccessFul,Exception,Data,Action-Id
01d6db8b-5de1-e7b8-d739-584abbd9f832_cee5a10e-e8fb-87a6-a448-1dce46f39820,ClickEvent,de408346-ad7e-38d0-bcf7-fbd5fb6eec33_e6c6fea4-e9bd-3fa9-8dae-e00dc34e3701,8f48de1a-83d0-e208-64ab-5ad9e1c8f282_575b19ef-566a-7f1a-2cbd-96aeb4628f94,2019-10-28T11:35:38.613,2019-10-28T11:35:41.022,true,,,13
8f48de1a-83d0-e208-64ab-5ad9e1c8f282_575b19ef-566a-7f1a-2cbd-96aeb4628f94,ClickEvent,dc04740f-798d-3f09-b503-5061de6afd1e_44cb7f2f-c5a9-3cb2-8d78-7eda1a144d98,41b81dc6-7695-1719-171a-9a85d48d2793_393dec0c-45c8-04c6-0ea0-68cba3c01540,2019-10-28T11:35:41.046,2019-10-28T11:35:42.806,true,,,14
41b81dc6-7695-1719-171a-9a85d48d2793_393dec0c-45c8-04c6-0ea0-68cba3c01540,ClickEvent,24a053e7-5713-3a6d-864a-173131843169_8bc42bf3-2685-39c0-993c-7ef247cfc58e,01d6db8b-5de1-e7b8-d739-584abbd9f832_059e346e-dcbe-8578-db00-b12e3ab695f2,2019-10-28T11:35:42.829,2019-10-28T11:35:45.301,true,,,15
01d6db8b-5de1-e7b8-d739-584abbd9f832_059e346e-dcbe-8578-db00-b12e3ab695f2,LongClickEvent,ad54ac22-b067-3ee5-be0d-8af77bd8176a_1ebed19e-0051-3522-9b7f-dff8e8363fe1,01d6db8b-5de1-e7b8-d739-584abbd9f832_3317a7dc-f226-84d3-087a-249c501e954d,2019-10-28T11:35:45.328,2019-10-28T11:35:47.045,true,,,16
01d6db8b-5de1-e7b8-d739-584abbd9f832_3317a7dc-f226-84d3-087a-249c501e954d,ClickEvent,c3fd7ddd-6e54-309f-831a-48326b620dc7_9dff801c-7ec2-3a4b-ac93-5dddc5b5407f,985f68c6-c381-eca4-6dc1-e5862179fd1e_1e745d21-d2d8-4085-f3d6-d9e130d050ff,2019-10-28T11:35:47.059,2019-10-28T11:35:48.998,true,,,18
985f68c6-c381-eca4-6dc1-e5862179fd1e_1e745d21-d2d8-4085-f3d6-d9e130d050ff,ClickEvent,6c13aa63-7b46-37e9-980b-70e9ef36ec6e_ef856dc5-36a3-3ed6-9cdd-370d011cde80,b139c60d-d04c-b83a-869c-42cd2e44c8b4_eee8d591-f2ed-a0cf-c44b-525150e5b149,2019-10-28T11:35:49.019,2019-10-28T11:35:51.057,true,,,19
b139c60d-d04c-b83a-869c-42cd2e44c8b4_eee8d591-f2ed-a0cf-c44b-525150e5b149,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c5d03cbb-9d29-32ed-9a3c-07309086dcd1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_997684c6-94c2-7e3d-6ed9-0185f2ba8eb7,2019-10-28T11:35:51.083,2019-10-28T11:35:52.218,true,,,20
b139c60d-d04c-b83a-869c-42cd2e44c8b4_997684c6-94c2-7e3d-6ed9-0185f2ba8eb7,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_a304bcc5-f490-323a-8743-3fd8aa7b523e,b139c60d-d04c-b83a-869c-42cd2e44c8b4_eee8d591-f2ed-a0cf-c44b-525150e5b149,2019-10-28T11:35:52.238,2019-10-28T11:35:54.237,true,,,23
b139c60d-d04c-b83a-869c-42cd2e44c8b4_eee8d591-f2ed-a0cf-c44b-525150e5b149,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_bc7a7f11-acb9-3298-8a8a-3e4a733002a1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8a70328-62db-9371-7e09-7fe7c0d3a3eb,2019-10-28T11:35:54.255,2019-10-28T11:35:55.394,true,,,24
b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8a70328-62db-9371-7e09-7fe7c0d3a3eb,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_8e78a1e3-a08b-3473-992f-17d2bb7ab4dc,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:35:55.409,2019-10-28T11:35:57.106,true,,,26
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c173cedd-5df9-320b-a57c-e56f4693969a,b139c60d-d04c-b83a-869c-42cd2e44c8b4_66048b9e-bd70-9a91-3b67-085e1b68ab0b,2019-10-28T11:35:57.128,2019-10-28T11:35:59.296,true,,,29
b139c60d-d04c-b83a-869c-42cd2e44c8b4_66048b9e-bd70-9a91-3b67-085e1b68ab0b,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_0d2f850c-71af-3805-8787-17a58283b40a,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:35:59.308,2019-10-28T11:36:01.632,true,,,31
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c5d03cbb-9d29-32ed-9a3c-07309086dcd1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8efd449-4f55-91a0-7e52-5108ad4da21a,2019-10-28T11:36:01.647,2019-10-28T11:36:03.829,true,,,33
b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8efd449-4f55-91a0-7e52-5108ad4da21a,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_a304bcc5-f490-323a-8743-3fd8aa7b523e,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:36:03.843,2019-10-28T11:36:05.033,true,,,34
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_0d9ec454-b51e-30a6-9f71-4b747421ae72,b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,2019-10-28T11:36:05.046,2019-10-28T11:36:07.122,true,,,37
b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_bc7a7f11-acb9-3298-8a8a-3e4a733002a1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:36:07.135,2019-10-28T11:36:09.130,true,,,39
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_0d9ec454-b51e-30a6-9f71-4b747421ae72,b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,2019-10-28T11:36:09.141,2019-10-28T11:36:11.099,true,,,41
b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c173cedd-5df9-320b-a57c-e56f4693969a,b139c60d-d04c-b83a-869c-42cd2e44c8b4_1671da2f-b131-a515-ebd4-56ef0f29b58f,2019-10-28T11:36:11.110,2019-10-28T11:36:12.234,true,,,42
b139c60d-d04c-b83a-869c-42cd2e44c8b4_1671da2f-b131-a515-ebd4-56ef0f29b58f,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_c5d03cbb-9d29-32ed-9a3c-07309086dcd1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_8bc93548-ce66-93b7-612b-b2082c5ea431,2019-10-28T11:36:12.246,2019-10-28T11:36:13.374,true,,,44
b139c60d-d04c-b83a-869c-42cd2e44c8b4_8bc93548-ce66-93b7-612b-b2082c5ea431,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_0d2f850c-71af-3805-8787-17a58283b40a,b139c60d-d04c-b83a-869c-42cd2e44c8b4_3188e711-2ff9-8648-06eb-63d08df196c2,2019-10-28T11:36:13.383,2019-10-28T11:36:15.424,true,,,47
b139c60d-d04c-b83a-869c-42cd2e44c8b4_3188e711-2ff9-8648-06eb-63d08df196c2,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_bc7a7f11-acb9-3298-8a8a-3e4a733002a1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8efd449-4f55-91a0-7e52-5108ad4da21a,2019-10-28T11:36:15.434,2019-10-28T11:36:16.575,true,,,48
b139c60d-d04c-b83a-869c-42cd2e44c8b4_a8efd449-4f55-91a0-7e52-5108ad4da21a,Tick,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_a304bcc5-f490-323a-8743-3fd8aa7b523e,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:36:16.585,2019-10-28T11:36:18.572,true,,,51
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_0d9ec454-b51e-30a6-9f71-4b747421ae72,b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,2019-10-28T11:36:18.584,2019-10-28T11:36:19.729,true,,,52
b139c60d-d04c-b83a-869c-42cd2e44c8b4_8db3c9b4-e6d2-9a46-6316-467444caaac0,ClickEvent,53d7a190-74eb-36d5-8cdc-0a9ff4f5ce4f_bc7a7f11-acb9-3298-8a8a-3e4a733002a1,b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,2019-10-28T11:36:19.740,2019-10-28T11:36:20.868,true,,,54
b139c60d-d04c-b83a-869c-42cd2e44c8b4_16805584-9158-9cfb-ebe2-d243ef50ad75,Terminate,null,d41d8cd9-8f00-3204-a980-0998ecf8427e_d41d8cd9-8f00-3204-a980-0998ecf8427e,2019-10-28T11:36:20.879,2019-10-28T11:36:27.715,true,,,56
